experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
0,1000,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.086625,0.030783,-0.14696,-0.02629,-0.016357,True
1,1013,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.056082,0.031134,-0.117105,0.004941,0.014186,True
2,1026,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.006176,0.03068,-0.053957,0.06631,0.076444,False
3,1039,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.015129,0.028068,-0.070142,0.039883,0.055138,False
4,1052,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.005636,0.028578,-0.050376,0.061649,0.075904,False
5,1065,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.00897,0.029083,-0.048033,0.065973,0.079238,False
6,1078,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.012567,0.028037,-0.042385,0.067519,0.082834,False
7,1091,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.008701,0.030106,-0.050306,0.067709,0.078969,False
8,1104,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041999,0.029035,-0.098907,0.014909,0.028268,True
9,1117,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.055951,0.027993,-0.110816,-0.001085,0.014317,True
10,1130,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.008902,0.027841,-0.045667,0.06347,0.079169,False
11,1143,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.046247,0.027929,-0.100987,0.008494,0.024021,True
12,1156,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.022252,0.030427,-0.081888,0.037384,0.048016,True
13,1169,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.053236,0.028979,-0.110035,0.003563,0.017032,True
14,1182,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.016035,0.031124,-0.077038,0.044969,0.054233,True
15,1195,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.073757,0.028941,-0.130481,-0.017033,-0.00349,True
16,1208,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028542,0.030689,-0.088693,0.031609,0.041725,True
17,1221,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.069315,0.030228,-0.128563,-0.010067,0.000953,True
18,1234,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.079586,0.030474,-0.139314,-0.019857,-0.009318,True
19,1247,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028027,0.029381,-0.085613,0.02956,0.042241,True
20,1260,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.081076,0.028881,-0.137683,-0.024469,-0.010808,True
21,1273,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.03978,0.030992,-0.100525,0.020965,0.030488,True
22,1286,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.022675,0.029661,-0.080811,0.035461,0.047593,True
23,1299,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.002226,0.028953,-0.054521,0.058973,0.072493,False
24,1312,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.021629,0.029745,-0.036672,0.07993,0.091897,False
25,1325,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.024721,0.029716,-0.082964,0.033523,0.045547,True
26,1338,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.033084,0.028825,-0.089582,0.023414,0.037184,True
27,1351,1000,layered,forest,15,17,1,1,-0.070268,simulation,0.011421,0.030238,-0.047845,0.070687,0.081689,False
28,1364,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.017776,0.026696,-0.070101,0.034549,0.052492,False
29,1377,1000,layered,forest,15,17,1,1,-0.070268,simulation,-0.008912,0.027168,-0.062162,0.044338,0.061356,False
